id;booking_id;user_id;amount;currency;payment_method;status;gateway_transaction_id;gateway_response;paid_at;refundable_until;created_at
1;54abdf36-5ead-47ca-a168-c57c517d7b7c;a14da563-5e64-4f42-9801-351448b03b05;11067.03;now beyond boohoo;however at zowie;COMPLETED;and hype;../fake-data/blob/hipster.txt;2025-08-31T14:53:06;2025-08-31T06:43:16;2025-08-31T06:53:45
2;95b89109-e077-48e1-9fd2-eb3e0947c588;ca602121-70ae-4360-bab6-ed52e93784a8;4704;brr;blind unless;REFUNDED;compete management phew;../fake-data/blob/hipster.txt;2025-08-30T18:16:40;2025-08-31T01:20:12;2025-08-30T19:31:55
3;105fde7e-8dba-4a87-97fc-8e4dc8be50b2;c8aac68b-92d1-4e70-9aa8-f029a649cfa1;27716.97;over kindly;vivaciously;FAILED;proliferate;../fake-data/blob/hipster.txt;2025-08-31T13:01:45;2025-08-31T07:17:39;2025-08-31T07:55:59
4;7a405f89-0b3e-4cc0-8bec-394d84e5c197;71d0e142-defc-499c-9eb6-40503fde8dd4;16908.36;unless;coaxingly but flawless;PROCESSING;even;../fake-data/blob/hipster.txt;2025-08-30T22:31:42;2025-08-31T01:35:03;2025-08-31T10:36:12
5;f70f1d70-c25e-47e0-b47c-163f724a67f3;6b868d56-6c51-4658-9746-115376c4d082;6443.76;blah perspire;so;PROCESSING;cardboard helplessly;../fake-data/blob/hipster.txt;2025-08-30T17:05:39;2025-08-31T12:57:05;2025-08-31T11:59:03
6;ca61f4cd-3247-478d-a336-7c2573e11102;bc0ecd7d-33f8-45d4-a858-66461dcc66d2;15636.65;satirise furiously;boo sweetly briefly;CANCELLED;likely contravene motivate;../fake-data/blob/hipster.txt;2025-08-31T03:20:03;2025-08-31T09:19:38;2025-08-31T03:05:14
7;6cb978ed-b403-4c39-a6c4-9373fcef51c2;8ca9ca1e-7036-4b87-9263-605411c5cdde;26606.29;among inasmuch provider;fluff gah;FAILED;flashy;../fake-data/blob/hipster.txt;2025-08-30T21:01:38;2025-08-30T20:46:00;2025-08-31T07:50:20
8;bcbd3f83-af40-4930-9ed3-c802c659638f;d0bda0f7-8b18-4d65-a5f6-1dd998cb37af;15867.73;athwart;whether warm;FAILED;or experienced;../fake-data/blob/hipster.txt;2025-08-30T23:30:12;2025-08-31T13:36:43;2025-08-30T23:10:15
9;571d648f-47a5-4376-b9ad-0e4cb78963be;e53420f9-83c3-49a2-aa98-e2592d2fb501;10364.17;peppery;judgementally;CANCELLED;sternly nightlife;../fake-data/blob/hipster.txt;2025-08-30T23:31:40;2025-08-30T19:43:18;2025-08-30T21:26:27
10;4294b262-2182-4917-8015-abf8a59444fe;75d41537-d39a-48bc-89bb-11b13c759da5;9566.6;interior abaft;legal;CANCELLED;livid reapply unabashedly;../fake-data/blob/hipster.txt;2025-08-31T16:42:53;2025-08-31T10:35:26;2025-08-31T13:32:24
