id;amount;reason;status;processed_at;gateway_refund_id;payment_id
1;19610.4;grandson who;list a minus;2025-09-13T19:58:02;relaunch dandelion;1
2;29435.51;bug alarmed;abaft round;2025-09-14T03:47:13;reboot apropos;2
3;19235.48;rapidly seldom;outlying hence;2025-09-13T19:55:32;beside plus quicker;3
4;25931.98;unless separately;er fuss accidentally;2025-09-14T01:11:38;given;4
5;15810.18;grandpa brandish;transom;2025-09-13T15:17:18;aha inasmuch;5
6;13307.49;narrowcast successfully;unless;2025-09-14T06:44:21;moor meh;6
7;18246.6;lovingly blissfully;question hence aside;2025-09-13T16:30:32;towards pish scuffle;7
8;1710.55;indeed monthly;mockingly against;2025-09-14T05:39:24;musty quaver;8
9;25432.59;since ragged;so season;2025-09-14T09:07:50;pfft certainly;9
10;25941.31;arrange stitcher;factorize receptor;2025-09-13T14:19:14;whereas frantically or;10
